# Table of globular clusters and dwarf spheroidals structural parameters from Vitral 2021 (Table C1). 
# If you use this table, please acknowledge our work (see 'Attribution'): https://gitlab.com/eduardo-vitral/balrogo#attribution 
# All the information of this table is derived in Vitral 2021, apart from the distances, which were taken from Baumgardt et al. 2019. 
# - - DEGREES DEGREES KPC MASYR MASYR MASYR MASYR - ARCMIN ARCMIN 
# ID OTHER_ID RA DEC D PMRA PMDEC ERR_PMRA ERR_PMDEC SD_MODEL RH ERR_RH 
NGC6441         Blank                 267.55440       -37.05147  11.83   -2.540   -5.386    0.009    0.009   P       1.05   0.03
NGC6496         Blank                 269.76531       -44.26599   9.12   -3.057   -9.268    0.009    0.009   P       1.43   0.03
NGC6517         Blank                 270.45989        -8.95957  10.60   -1.568   -4.466    0.014    0.013   S       1.15   0.06
NGC6522         Blank                 270.89201       -30.03400   8.00    2.568   -6.475    0.024    0.024   S       0.46   0.03
NGC6528         Blank                 271.20670       -30.05580   7.45   -2.158   -5.659    0.026    0.026   K       0.57   0.04
NGC6535         Blank                 270.96044        -0.29765   6.50   -4.217   -2.948    0.012    0.012   K       1.06   0.03
NGC6539         Blank                 271.20722        -7.58588   7.85   -6.900   -3.542    0.008    0.008   S       1.91   0.08
NGC6540         Blank                 271.53581       -27.76529   5.20   -3.695   -2.806    0.026    0.023   P       0.40   0.06
NGC6541         Blank                 272.00984       -43.71493   7.95    0.282   -8.844    0.006    0.005   S       2.71   0.02
NGC6544         Blank                 271.83574       -24.99742   2.60   -2.316  -18.617    0.010    0.010   K       4.57   0.10
NGC6553         Blank                 272.31533       -25.90775   6.75    0.366   -0.422    0.016    0.016   P       1.29   0.09
NGC6558         Blank                 272.57642       -31.76354   7.20   -1.745   -4.150    0.020    0.019   K       0.61   0.05
NGC6569         Blank                 273.41198       -31.82648  10.59   -4.135   -7.355    0.010    0.010   P       0.77   0.04
NGC6584         Blank                 274.65667       -52.21581  13.18   -0.092   -7.223    0.012    0.011   S       1.32   0.02
NGC6624         Blank                 275.91879       -30.36106   7.40    0.120   -6.958    0.014    0.013   P       1.24   0.04
NGC6626         M28                   276.13704       -24.86987   5.43   -0.291   -8.945    0.013    0.013   S       1.70   0.12
NGC6637         M69                   277.84622       -32.34811   8.80   -5.068   -5.831    0.009    0.009   P       1.73   0.03
NGC6638         Blank                 277.73436       -25.49643  10.32   -2.519   -4.076    0.012    0.012   S       0.76   0.04
NGC6642         Blank                 277.97596       -23.47616   8.05   -0.187   -3.911    0.017    0.017   P       0.70   0.04
NGC6652         Blank                 278.94010       -32.99074  10.00   -5.481   -4.257    0.013    0.012   S       0.93   0.02
